,en,vn,word_type,word_type_vn
0,arthropathology,bệnh học khớp,n,danh từ
1,arthropathy,bệnh khớp,n,danh từ
2,arthrophyma,sưng khớp,n,danh từ
3,arthrophyte,dị vật khớp,n,danh từ
4,arthropod,"chân khớp (động vật), tiết chi động vật",n,danh từ
5,Arthropoda,chân khớp (ngành),n,danh từ
6,arthropyosis,sinh mủ khớp (sự),n,danh từ
7,arthrorisis,hạn chế khớp (thth),n,danh từ
8,arthroscintigram,nhấp nháy đồ khớp,n,danh từ
9,arthroscintigraphy,chụp nhấp nháy khớp (thuật),n,danh từ
10,arthrosclerosis,cứng khớp (ch),n,danh từ
11,arthroscope,nội soi khớp (kính),n,danh từ
12,arthroscopy,nội soi khớp (thuật),n,danh từ
13,arthrosis,1 khớp. 2.hư khớp (bh),n,danh từ
14,arthrospore,bào tử chia đốt,n,danh từ
15,arthrosteitis,viêm xương khớp,n,danh từ
16,arthrostomy,mở thông khớp (thth),n,danh từ
17,arthrosynovitis,viêm màng hoạt dịch khớp,n,danh từ
18,arthrotome,dao mở khớp,n,danh từ
19,arthrotomy,mở khớp (thth),n,danh từ
20,arthrotropic,"hướng khớp, ưa khớp",a,tính từ
21,arthrotyphoid,thương hàn khớp (bh),n,danh từ
22,arthroxesis,nạo khớp (thth),n,danh từ
23,article,"đốt, đoạn, khớp",n,danh từ
24,articular,khớp (th),a,tính từ
25,articulare,điểm Ar (trong đo sọ),n,danh từ
26,articulated,nối bằng khớp động,a,tính từ
27,articulatio,khớp,n,danh từ
28,articulator,"giá khớp, càng nhai (RHM)",n,danh từ
29,articulatory,"phát âm (th), cấu ân (th)",a,tính từ
30,articulo,lúc,n,danh từ
31,artifact,"giả tượng, hình giả, sản phẩm nhân tạo",n,danh từ
32,artifactitious,"tạo tác (th), giả tượng (tính)",a,tính từ
33,artificial,nhân tạo,a,tính từ
34,artio-,chẳn số,pref.,tiền tố
35,Artiodactyla,Ngón chẳn (bộ),n,danh từ
36,artiodactylous,ngón chẳn (th),a,tính từ
37,artioploid,thể bội chẳn,n,danh từ
38,Artyfechinostomum,Artyfechinostomum (một loại sán lá),n,danh từ
39,aryepiglotticus,cơ phễu-nắp thanh quản,n,danh từ
40,aryteno-,phễu,pref.,tiền tố
41,arytenoepiglottic,phễu-nắp thanh quản (th),a,tính từ
42,arytenoid,hình phễu,a,tính từ
43,arytenoidectomy,cắt bỏ sụn phễu (thth),n,danh từ
44,arytenoideus,cơ gian phễu,n,danh từ
45,arytenoiditis,viêm sụn phễu,n,danh từ
46,arytenoidopexy,cố định sụn phễu (thth),n,danh từ
